파일명,의안번호,제안이유,주요내용or주 문
0175CFDD-0A99-48DD-209F-42AFD2B069E0.pdf,22357,"1. ㈜한국수력원자력의 월성 1호기 조기 폐쇄 결정의 타당성 및 ㈜한국수력원자력 이사회 이사들의 배임행위에 대한 감사 월성 1호기는 1983년 상업운전을 개시하여 2012년 11월 설계수명이 만료될 예정이었으나 5,925억원을 투입하여 설비보강을 통해 수명을 연장하였고, 이에 따라 2022년에 설계수명이 만료될 예정이었음. ㈜한국수력원자력은 2018년 6월 15일 이사회를 개최하여 월성 1호기 조기 폐쇄를 의결하였음. 월성 1호기 조기 폐쇄 경제성 평가에서 전기판매 단가를 과도하게 낮추는 등 자료를 조작하여 월성 1호기의 경제성을 과소평가하고, 이용률이 54.4%를 초과할 경우 월성 1호기를 계속 가동하는 것이 유리함에도 불구하고 의도적으로 낮은 이용률을 전망하였다는 의혹이 있음. 또한, 수명연장을 위해 설비투자를 진행하여 가동이 가능함에도 불구하고 월성 1호기 조기 폐쇄를 의결한 것은 ㈜한국수력원자력 이사들의 임무에 위배한 행위로써 회사에 손해를 가한 배임행위라는 지적이 제기된 바 있음. 이에 ㈜한국수력원자력의 월성 1호기 조기 폐쇄 결정의 타당성과 이사회 이사들의 배임행위에 대해 감사원 감사를 요구함.",「국회법」 제127조의2에 따라 감사원에 대하여 다음 사항에 대한 감사를 요구한다. 1. ㈜한국수력원자력의 월성 1호기 조기 폐쇄 결정의 타당성 및 ㈜한국수력원자력 이사회 이사들의 배임행위에 대한 감사
01B826ED-C41E-E402-3314-60D8BFD31DDF.pdf,5864,"1. 동양물산기업이 국제종합기계를 인수하는 과정에서 산업은행이 자금 지원 등 특혜를 제공했다는 의혹에 대한 감사 2016년 9월 동양물산은 유암코-키스톤 사모투자펀드(PEF)와 공동으로 설립한 특수목적회사(SPC)를 통해 경쟁업체이자 산업은행이 지분을 가지고 있는 동국제강의 자회사인 국제종합기계를 590억원에 인수했으며, 이 과정에서 산업은행으로부터 160억원의 사업재편자금 대출을 받았음. 이는 2016년 8월 시행된 기업 활력 제고를 위한 특별법(일명 “원샷법”) 적용의 첫 사례로 발표되었음. 그런데 이 과정에서 산업은행은 동양물산에 자금지원을 한 것이 부당한 특혜제공이었다는 의혹이 다음과 같이 제기되고 있음. 첫째, 산업은행은 2016년 9월 당시 동양물산에 대해 150억원의 채권을 가지고 있었는데 이를 상환받는 동시에 160억원의 자금을 대출하였는 바, 이처럼 잔존 채무가 있는 기업에 대해 추가로 여신을 제공한 것이 적절한 지에 대해 의혹이 있음. 산업은행의 자금 지원으로 동양물산기업은 자기자본 투입 없이 인수대금을 조성할 수 있었음. 둘째, 동양물산기업이 산업통상자원부에 제출한 사업재편계획서에 금융 지원에 대한 요청이 없었음에도 산업은행이 원샷법 적용 기업을 위해 조성한 사업재편지원자금을 통해 지원이 이루어졌음. 이에 대해 산업통상자원부는 동 자금이 정책자금이 아니므로 문제가 없다는 입장이나, 산업은행의 국회 보고자료에는 해당 자금이 사업재편기업에 대한 지원 자금으로 적시되었고, 자금의 성격상 국책금융기관이 금리혜택을 부여하며 지원한 자금을 정책자금이 아니라고 볼 수는 없음. 셋째, 피인수기업인 국제종합기계의 인수가격은 2013년에 최초로 동 회사의 매각이 거론되던 당시 시장에서 예상한 1,000억원대에 비해 매우 낮은 바, 이는 산업은행이 비금융 자회사 매각에 대한 금융당국 등의 요구에 맞추기 위해 매각가액 산정 시 특혜를 제공한 것이라는 의혹도 제기되고 있음. 이러한 일련의 특혜제공 의혹의 배경에는 인수기업인 동양물산의 대표이사가 친인척 관계를 이용하였을 가능성마저 제기되고 있음을 감안할 때, 산업은행의 동양물산기업에 대한 국제종합기계 인수자금 지원 전반에 관해 감사원 감사가 필요함. 2. 골프존(주)에 대한 공정거래위원회의 부적정한 행정지도·감독 및 부실 조사 의혹에 대한 감사 골프존(주)은 골프 시뮬레이터(Golf Simulator) 기계를 스크린골프장 운영사업자(이하 “점주”라 함)에게 판매하는 사업을 하는 회사로, 시장 상황 및 점주들의 이해관계를 고려하지 아니하고 무분별한 기계 판매 등 사업 확장에만 치중하여 스크린골프 시장을 과포화 상태로 만들었으며, 이로 인해 점주들의 피해가 확대되고 있는 실정임. 그런데 이 과정에서 다음과 같이 골프존(주)에 대한 공정거래위원회의 부적정한 행정지도·감독 및 부실 조사 의혹이 제기되고 있으므로 그 진위를 규명하고 문제점을 파악하기 위하여 감사원의 감사를 요구함. 첫째, 골프존(주)의 영업방식이 ｢가맹사업거래의 공정화에 관한 법률｣의 적용을 받지 않는다는 점을 이용하여 영업권 보장 및 거리 제한 등의 규제를 회피하고 무분별하게 제품을 판매하여 시장을 과포화 상태로 만들었으며, 이로 인하여 점주들의 피해가 확대되고 있는 실정에 이르렀으나, 공정거래위원회는 그 동안 시장 과밀화 해소와 점주 피해 방지를 위해 골프존(주)에 대하여 적정한 행정지도 및 관리·감독을 실시하지 아니한 것으로 보임. 둘째, 한때 스크린골프 시장의 80% 이상을 점유하였고, 현재도 70% 가량의 점유율을 가진 골프존(주)은 2016년 3월 향후 개별 점포에 대한 영업권 보장 및 거리 제한이 가능한 가맹 사업으로 영업방식을 전환하겠다는 방침을 발표하였음. 이러한 골프존(주)의 영업방식 전환 발표는 과포화된 시장 상황을 고려하면 점주들로 하여금 사실상 가맹사업 전환을 강제하고 추가적인 비용부담을 요구하는 것으로 해석될 수 있는바, 이는 ｢독점규제 및 공정거래에 관한 법률｣에서 금지하고 있는 거래상지위 남용행위 중 불이익 제공행위에 해당할 수 있음. 그러나 공정거래위원회는 이러한 골프존(주)의 영업방침 전환 발표에 대해 적정한 행정지도 및 관리·감독을 수행하지 아니하였고, 점주들의 신고에 따른 조사 또한 신속하게 이루어지지 아니하고 있는 상황으로 보임. 이러한 일련의 공정거래위원회의 부적정한 행정지도·감독 및 부실 조사 의혹 배경에는 공정거래위원회 전 서울사무소장이 골프존(주)의 사외이사로 영입되어 부당한 영향력을 행사하고 있다는 의혹마저 제기되고 있음을 감안하면, 골프존(주)에 대한 공정거래위원회의 행정 지도·감독 및 조사 과정 전반에 대한 감사원 감사가 필요함.",「국회법」 제127조의2에 따라 감사원에 대하여 다음 사항에 대한 감사를 요구한다. 1. 동양물산기업이 국제종합기계를 인수하는 과정에서 산업은행이 자금 지원 등 특혜를 제공했다는 의혹에 대한 감사 2. 골프존(주)에 대한 공정거래위원회의 부적정한 행정지도·감독 및 부실 조사 의혹에 대한 감사
02EB029D-B632-7311-AB14-B62F39FC0825.pdf,14437,"국회는 1991년부터 의원의 자격심사·징계에 관한 사항을 심사하기 위하여 윤리특별위원회를 구성·운영하여 왔음. 그러나 최근 윤리특별위원회가 상설로 구성되어 있음에도, 제대로 활동하지 않아 인력·예산 등 불필요한 낭비가 발생한다는 비판이 제기되고 있음. 이에 윤리특별위원회를 비상설 특별위원회로 새로이 구성하여 기존 윤리특별위원회가 담당하던 의원의 자격심사·징계 등을 담당하도록 함으로써 운영의 현실성과 효율성을 제고하려고 함. 또한 윤리심사의 활성화 및 심사의 전문성과 공정성 제고 등을 위한 제도적인 개선방안을 함께 논의함으로써, 향후 윤리특별위원회가 내실 있게 운영될 수 있는 토대를 마련하는 것이 필요함. 이에 「국회법」제44조 및 제46조에 따라 「윤리특별위원회」를 구성하려는 것임. 다만, 국회법이 개정되기 전 윤리특별위원회가 구성될 경우 기존 윤리특별위원회와 중복될 우려가 있으므로, 윤리특별위원회의 활동 시작 시기를 제362회 국회(임시회) 제2차 본회의에서 의결된 국회법 일부개정법률의 시행일로 명시함.","가. 의원의 자격심사·징계에 관한 사항을 심사하고, 윤리심사의 활성화 및 전문성·공정성 제고 등을 위한 제도적 개선방안을 논의하기 위하여 「국회법」제44조 및 제46조에 따라 「윤리특별위원회」를 구성한다. 나. 위원 수는 위원장을 포함하여 18인으로 하며, 여·야 동수로 구성한다. 다. 특별위원회의 활동기한은 제362회 국회(임시회) 제2차 본회의에서 의결된 국회법 일부개정법률의 시행일부터 2018년 12월 31일까지로 한다."
0383982C-61CF-BE46-AC25-BB734D35CD27.pdf,,,"전력산업의 지속적인 발전과 전력수급 안정 도모, 국민이 신뢰하는 안정적 에너지공급체계 구축, 전기안전 관리, 보편적 전기공급 등 전력기금의 공익적 기능 강화, 수소‧연료전지 등 전력분야 미래먹거리 창출 및 고부가가치 산업 육성"
03B4B593-923E-50C4-D9B5-EC6A3C552A10.pdf,,,"2020년도 응급의료기금운용계획변경안은 응급환자의 생명과 건강을 보호하기 위한 국가 응급의료사업을 효율적으로 수행하기 위한 목적을 가지고 있습니다. 주요 내용으로는 응급환자의 진료비 중 미수금의 대지급, 응급의료기관 등의 육성·발전과 의료기관의 응급환자 진료를 위한 시설 등의 설치에 필요한 자금의 융자 또는 지원, 응급의료 제공체계의 원활한 운영을 위한 보조사업 등이 포함됩니다."
03B5FF95-C24A-2896-F30C-248C00AA031B.pdf,,,"신용보증기금 운용 계획 변경안: 기금의 사업목표는 신용보증을 통하여 미래 성장 가능성이 높은 우량기업에 대한 자금융통을 원활히 하고, 국민경제 발전을 위한 다양한 정책금융 제도의 지원을 통해 중소기업의 역량과 경쟁력을 제고하고 경제성장동력 확충에 기여하는 것입니다."
066EA98A-AC03-A1FE-1145-9B635E2623D2.pdf,9946,"국제연합 회원국으로서 국제연합의 국제평화유지 노력에 적극 동참하고, 레바논의 안정화와 중동지역의 평화 달성에 기여하기 위하여「국제연합 레바논 평화유지군(UNIFIL)」에 파견되어 활동 중인 국군부대의 파견 기간을 연장하려는 것임.","가. 2007. 7.19.부터 파견되어 2017.12.31.까지 연장된 국군부대의 파견기간을 2018. 1. 1.부터 2018.12.31.까지 1년간 연장함. 나. 국군부대의 임무는 안보리 결의 제1701호에 의거, 작전지역에 대한 감시정찰, 레바논군 협조 및 지원, 인도주의적 활동 등임. 다. 국군부대에 대한 지휘권 및 법적 지위에 관하여는 국제연합 평화유지 활동에 적용되는 원칙에 따르도록 함. 라. 국군부대 파견에 따른 소요경비(所要經費)는 우리 정부 예산에서 먼저 지출하고 추후 국제연합으로부터 일부 보전받음."
0A342183-129D-3A61-C6C3-567BD598E2A4.pdf,9945,"국제연합 회원국으로서 국제연합의 국제평화유지 노력에 적극 동참하고, 남수단 공화국의 평화 정착 및 재건 지원에 기여하기 위하여 ｢국제연합 남수단 임무단(UNMISS)｣에 파견되어 활동 중인 국군부대의 파견기간을 연장하려는 것임.","가. 2013. 4. 3.부터 파견되어 2017.12.31.까지 연장된 국군부대의 파견기간을 2018. 1. 1.부터 2018.12.31.까지 1년간 연장함. 나. 국군부대의 임무는 안보리 결의 제2155호에 의거, 남수단 공화국 재건 지원 및 인도주의적 활동 등임. 다. 국군부대에 대한 지휘권 및 법적 지위에 관하여는 국제연합 평화유지 활동에 적용되는 원칙에 따르도록 함. 라. 국군부대 파견에 따른 소요경비(所要經費)는 우리 정부 예산에서 먼저 지출하고 추후 국제연합으로부터 일부 보전받음."
0A3E0E64-0154-B5E7-D55F-1C6496531D61.pdf,24902,"어려운 법률용어를 쉬운 표현으로 바꾸거나 설명을 병기함으로써 법률에 대한 국민의 이해 정도와 접근가능성을 확장시키는 한편, 관리방조제에 천재지변이나 그 밖의 긴급한 사태가 발생한 경우 신속한 대응을 위하여, 인근 주민에게 요청할 수 있는 행위를 ‘노무의 제공’에서 ‘응급조치에 종사’로 명확히 하려는 것임.","가. “양수표(量水標)”를 “수위표”로 하고, “조유지(潮遊地)”를 “조유지(潮遊地: 방조제 안쪽의 유수나 방조제 바깥쪽에서 유입된 바닷물을 임시 저장하는 곳)”으로 설명을 병기함(안 제2조제3호). 나. 천재지변이나 그 밖의 긴급한 사태로 인한 관리방조제의 위험을 방지하거나 재해를 복구하는 데에 필요한 때에 인근 주민에게 요청할 수 있는 행위를 “노무의 제공”에서 “응급조치에 종사”로 변경함(안 제10조제1호)."
0BE27855-B3E0-26DC-DC78-626F5A6E19E5.pdf,15313,"한-UAE간 군사협력의 일환으로 2011년 1월부터 아랍에미리트(UAE)에 파견된 국군부대 (아크부대)의 파견기간이 2018년 12월 31일 종료될 예정이나, 다음과 같은 이유로 파견기간을 연장하고자 함. 첫째, 아크부대의 주둔은 한-UAE간 특별 전략적 동반자 관계 발전 및 방산수출을 포함한 양국의 경제협력 촉진에 기여함. 둘째, 유사시, 중동지역 우리국민(약2만 4천여명) 보호 임무 수행이 가능함. 셋째, UAE 특수전부대의 첨단장비 훈련시설을 활용하여 우리 특수전부대의 특수작전 수행능력 향상에 기여함. 넷째, UAE 특수전 부대의 정예화 및 작전수행능력 향상에 크게 기여함. 다섯째, UAE정부, UAE 군 역량을 향상시킨 아크부대의 능력을 높게 평가하고 양국간 협력의 상징으로서 아크부대 파견 연장 희망함.","가. UAE에 파견된 국군부대 파견기간을 2019년 1월 1일부터 2019년 12월 31일까지 1년간 연장함. 나. 국군부대의 임무는 UAE군 특수전부대에 대한 교육훈련 지원, UAE군 특수전 부대와의 연합훈련 및 연습, 유사시 우리 국민보호임. 다. 파견규모는 150명 이내이며, 파견지역은 UAE 아부다비주 지역임. 라. 부대 지휘권은 한국군이 보유하며, 우리 합동참모의장이 작전지휘함. 마. 국군부대의 파견경비는 우리 정부의 부담으로 함."
