monaCode,이름,정당,선거구,성별
XQ98168F,강길부,무소속,울산 울주군,남
60490713,강병원,더불어민주당,서울 은평구을,남
IH436704,강석진,미래통합당,경남 산청군함양군거창군합천군,남
8I61593E,강석호,미래통합당,경북 영양군영덕군봉화군울진군,남
TOU1222X,강창일,더불어민주당,제주 제주시갑,남
9WQ7845Z,강효상,미래통합당,비례대표,남
TRE2429O,강훈식,더불어민주당,충남 아산시을,남
23D73143,경대수,미래통합당,충북 증평군진천군음성군,남
6V37131U,고용진,더불어민주당,서울 노원구갑,남
Q6A9034Q,곽대훈,무소속,대구 달서구갑,남
MHK9919B,곽상도,새누리당,대구 중구남구,남
RH454994,권미혁,더불어민주당,비례대표,여
O149331C,권석창,자유한국당,충북 제천시단양군,남
GDG1847Z,권성동,새누리당,강원 강릉시,남
YKW37422,권은희,국민의당,광주 광산구을,여
C7E79345,권칠승,더불어민주당,경기 화성시병,남
QZR19240,금태섭,더불어민주당,서울 강서구갑,남
B7R2742J,기동민,더불어민주당,서울 성북구을,남
PP08673W,김경수,더불어민주당,경남 김해시을,남
YVN3115U,김경진,무소속,광주 북구갑,남
ZKU88693,김경협,더불어민주당,경기 부천시원미구갑,남
W168182V,김관영,무소속,전북 군산시,남
MGE7194M,김광림,미래통합당,경북 안동시,남
3NM5411H,김광수,무소속,전북 전주시갑,남
OC037566,김규환,미래한국당,비례대표,남
NNP30098,김기선,미래한국당,강원 원주시갑,남
LH97552Q,김도읍,새누리당,부산 북구강서구을,남
DCR84445,김동철,민생당,광주 광산구갑,남
CI15627C,김두관,더불어민주당,경기 김포시갑,남
9EA39580,김명연,미래통합당,경기 안산시단원구갑,남
SNJ6318D,김무성,미래통합당,부산 중구영도구,남
NTT8182Q,김민기,더불어민주당,경기 용인시을,남
QB390802,김병관,더불어민주당,경기 성남시분당구갑,남
8Q88373R,김병기,더불어민주당,서울 동작구갑,남
GFF1986K,김병욱,더불어민주당,경기 성남시분당구을,남
UIZ3103R,김부겸,더불어민주당,대구 수성구갑,남
ZL32287Z,김삼화,민생당,비례대표,여
1Y73132H,김상훈,새누리당,대구 서구,남
UGH6481E,김상희,더불어민주당,경기 부천시소사구,여
ZYP7962W,김석기,새누리당,경북 경주시,남
DTG4846A,김선동,미래통합당,서울 도봉구을,남
GXT11570,김성수,더불어민주당,비례대표,남
RCF90176,김성식,무소속,서울 관악구갑,남
9D939735,김성원,새누리당,경기 동두천시연천군,남
PAB29217,김성찬,미래한국당,경남 창원시진해구,남
9UW75767,김성태,미래통합당,비례대표,남
BQS2021C,김성태,미래통합당,서울 강서구을,남
XSP20229,김성환,더불어민주당,서울 노원구병,남
2WQ6656P,김세연,미래통합당,부산 금정구,남
5K343700,김수민,민생당,비례대표,여
7KD2317D,김순례,미래한국당,비례대표,여
8WC7967F,김승희,미래한국당,비례대표,여
PLR62452,김영우,미래통합당,경기 포천시가평군,남
0W194007,김영주,더불어민주당,서울 영등포구갑,여
5765663F,김영진,더불어민주당,경기 수원시병,남
TWL5801D,김영춘,더불어민주당,부산 부산진구갑,남
7BM2933Y,김영호,더불어민주당,서울 서대문구을,남
AMF4093D,김용태,미래통합당,서울 양천구을,남
M3Z17237,김재경,미래통합당,경남 진주시을,남
QZU9232M,김재원,미래통합당,경북 상주시군위군의성군청송군,남
6RP89579,김정우,더불어민주당,경기 군포시갑,남
E1J8836Y,김정재,새누리당,경북 포항시북구,여
9LD2641Q,김정호,더불어민주당,경남 김해시을,남
64G6894C,김정훈,미래한국당,부산 남구갑,남
I0F2578R,김종대,정의당,비례대표,남
M2Q9024I,김종민,더불어민주당,충남 논산시계룡시금산군,남
06X3845L,김종석,미래한국당,비례대표,남
E5N8503B,김종인,더불어민주당,비례대표,남
K1Y45873,김종태,새누리당,경북 상주시군위군의성군청송군,남
HTK5293K,김종회,무소속,전북 김제시부안군,남
A935446Z,김종훈,민중당,울산 동구,남
SY09851R,김중로,민생당,비례대표,남
N6C1899K,김진태,미래통합당,강원 춘천시,남
Q9H5708M,김진표,더불어민주당,경기 수원시무,남
1MU99298,김철민,더불어민주당,경기 안산시상록구을,남
1WE5693J,김태년,더불어민주당,경기 성남시수정구,남
TVF3669B,김태흠,새누리당,충남 보령시서천군,남
F5U2979W,김학용,새누리당,경기 안성시,남
09I2323E,김한정,더불어민주당,경기 남양주시을,남
YBM9779M,김한표,미래통합당,경남 거제시,남
6QU2958D,김해영,더불어민주당,부산 연제구,남
MPV9321A,김현권,더불어민주당,비례대표,남
9XB6464U,김현미,더불어민주당,경기 고양시정,여
CXA6162I,김현아,미래통합당,비례대표,여
SLW27496,나경원,새누리당,서울 동작구을,여
