이름,정당,선거구,성별
강길부,무소속,울산 울주군,남
강병원,더불어민주당,서울 은평구을,남
강석진,미래통합당,경남 산청군함양군거창군합천군,남
강석호,미래통합당,경북 영양군영덕군봉화군울진군,남
강창일,더불어민주당,제주 제주시갑,남
강효상,미래통합당,비례대표,남
강훈식,더불어민주당,충남 아산시을,남
경대수,미래통합당,충북 증평군진천군음성군,남
고용진,더불어민주당,서울 노원구갑,남
곽대훈,무소속,대구 달서구갑,남
곽상도,새누리당,대구 중구남구,남
권미혁,더불어민주당,비례대표,여
권석창,자유한국당,충북 제천시단양군,남
권성동,새누리당,강원 강릉시,남
권은희,국민의당,광주 광산구을,여
권칠승,더불어민주당,경기 화성시병,남
금태섭,더불어민주당,서울 강서구갑,남
기동민,더불어민주당,서울 성북구을,남
김경수,더불어민주당,경남 김해시을,남
김경진,무소속,광주 북구갑,남
김경협,더불어민주당,경기 부천시원미구갑,남
김관영,무소속,전북 군산시,남
김광림,미래통합당,경북 안동시,남
김광수,무소속,전북 전주시갑,남
김규환,미래한국당,비례대표,남
김기선,미래한국당,강원 원주시갑,남
김도읍,새누리당,부산 북구강서구을,남
김동철,민생당,광주 광산구갑,남
김두관,더불어민주당,경기 김포시갑,남
김명연,미래통합당,경기 안산시단원구갑,남
김무성,미래통합당,부산 중구영도구,남
김민기,더불어민주당,경기 용인시을,남
김병관,더불어민주당,경기 성남시분당구갑,남
김병기,더불어민주당,서울 동작구갑,남
김병욱,더불어민주당,경기 성남시분당구을,남
김부겸,더불어민주당,대구 수성구갑,남
김삼화,민생당,비례대표,여
김상훈,새누리당,대구 서구,남
김상희,더불어민주당,경기 부천시소사구,여
김석기,새누리당,경북 경주시,남
김선동,미래통합당,서울 도봉구을,남
김성수,더불어민주당,비례대표,남
김성식,무소속,서울 관악구갑,남
김성원,새누리당,경기 동두천시연천군,남
김성찬,미래한국당,경남 창원시진해구,남
김성태,미래통합당,비례대표,남
김성태,미래통합당,서울 강서구을,남
김성환,더불어민주당,서울 노원구병,남
김세연,미래통합당,부산 금정구,남
김수민,민생당,비례대표,여
김순례,미래한국당,비례대표,여
김승희,미래한국당,비례대표,여
김영우,미래통합당,경기 포천시가평군,남
김영주,더불어민주당,서울 영등포구갑,여
김영진,더불어민주당,경기 수원시병,남
김영춘,더불어민주당,부산 부산진구갑,남
김영호,더불어민주당,서울 서대문구을,남
김용태,미래통합당,서울 양천구을,남
김재경,미래통합당,경남 진주시을,남
김재원,미래통합당,경북 상주시군위군의성군청송군,남
김정우,더불어민주당,경기 군포시갑,남
