monaCode,이름,정당,선거구,성별
04T3751T,남인순,더불어민주당,서울 송파구병,여
0698755I,이해민,조국혁신당,비례대표,여
0R68099X,이수진,더불어민주당,경기 성남시중원구,여
0VU8517U,황희,더불어민주당,서울 양천구갑,남
0YT3774N,황운하,조국혁신당,비례대표,남
1A82234K,박은정,조국혁신당,비례대표,여
1JI2689F,박용갑,더불어민주당,대전 중구,남
1S05899F,채현일,더불어민주당,서울 영등포구갑,남
1SR94244,김소희,국민의힘,비례대표,여
1WE5693J,김태년,더불어민주당,경기 성남시수정구,남
1Y73132H,김상훈,국민의힘,대구 서구,남
2385336L,정청래,더불어민주당,서울 마포구을,남
25G2571T,전현희,더불어민주당,서울 중구성동구갑,여
2NV6751W,장철민,더불어민주당,대전 동구,남
2S73768V,이훈기,더불어민주당,인천 남동구을,남
3249208I,송옥주,더불어민주당,경기 화성시갑,여
3BC6890E,김미애,국민의힘,부산 해운대구을,여
3C23171A,진성준,더불어민주당,서울 강서구을,남
3CC88975,김기표,더불어민주당,경기 부천시을,남
3LP22204,이재강,더불어민주당,경기 의정부시을,남
3NI5978A,조지연,국민의힘,경북 경산시,여
3OQ8273H,양문석,더불어민주당,경기 안산시갑,남
3TP65086,윤종오,진보당,울산 북구,남
3UI95829,김우영,더불어민주당,서울 은평구을,남
3ZR4438W,이인영,더불어민주당,서울 구로구갑,남
4019850M,박정,더불어민주당,경기 파주시을,남
42K7317Y,강승규,국민의힘,충남 홍성군예산군,남
43Q3892U,박희승,더불어민주당,전북 남원시장수군임실군순창군,남
4L695580,김원이,더불어민주당,전남 목포시,남
4T026790,임오경,더불어민주당,경기 광명시갑,여
4U29186R,문진석,더불어민주당,충남 천안시갑,남
4X525582,배현진,국민의힘,서울 송파구을,여
51A45980,서미화,더불어민주당,비례대표,여
5762459L,이정헌,더불어민주당,서울 광진구갑,남
5765663F,김영진,더불어민주당,경기 수원시병,남
57B28032,김재섭,국민의힘,서울 도봉구갑,남
5K93695T,김승수,국민의힘,대구 북구을,남
5KV82250,조경태,국민의힘,부산 사하구을,남
5KV96424,강준현,더불어민주당,세종특별자치시을,남
5MD4184K,홍기원,더불어민주당,경기 평택시갑,남
5N65159P,김윤,더불어민주당,비례대표,남
5TQ6306B,박수현,더불어민주당,충남 공주시부여군청양군,남
68P7228G,진선미,더불어민주당,서울 강동구갑,여
6AU2417B,박주민,더불어민주당,서울 은평구갑,남
6EN68926,송언석,국민의힘,경북 김천시,남
6I88973D,부승찬,더불어민주당,경기 용인시병,남
6K79158C,이용우,더불어민주당,인천 서구을,남
6RD62559,박정하,국민의힘,강원 원주시갑,남
6U243644,박형수,국민의힘,경북 의성군청송군영덕군울진군,남
6VC83722,김현정,더불어민주당,경기 평택시병,남
6WK3815W,김태선,더불어민주당,울산 동구,남
7469929V,구자근,국민의힘,경북 구미시갑,남
7BM2933Y,김영호,더불어민주당,서울 서대문구을,남
7GW5372Y,김선민,조국혁신당,비례대표,여
7R156073,박범계,더불어민주당,대전 서구을,남
7XY7109I,성일종,국민의힘,충남 서산시태안군,남
7YC6702R,이건태,더불어민주당,경기 부천시병,남
7YL9580G,김현,더불어민주당,경기 안산시을,여
80C5885Z,서왕진,조국혁신당,비례대표,남
8348421R,엄태영,국민의힘,충북 제천시단양군,남
86R9476S,김문수,더불어민주당,전남 순천시광양시곡성군구례군갑,남
88O1334C,김성회,더불어민주당,경기 고양시갑,남
8A05621B,김준형,조국혁신당,비례대표,남
8BF5855P,박지원,더불어민주당,전남 해남군완도군진도군,남
8FB1535Y,어기구,더불어민주당,충남 당진시,남
8JG4358H,한민수,더불어민주당,서울 강북구을,남
8L52480G,이상휘,국민의힘,경북 포항시남구울릉군,남
8O34202I,김영환,더불어민주당,경기 고양시정,남
8P37634C,강득구,더불어민주당,경기 안양시만안구,남
8Q88373R,김병기,더불어민주당,서울 동작구갑,남
