name,partyName,electoralDistrict,gender,committees
서삼석,더불어민주당,전남 영암군무안군신안군,남,농림축산식품해양수산위원회
서영교,더불어민주당,서울 중랑구갑,여,"법제사법위원회,여성가족위원회"
성일종,국민의힘,충남 서산시태안군,남,국방위원회
소병훈,더불어민주당,경기 광주시갑,남,보건복지위원회
송기헌,더불어민주당,강원 원주시을,남,국토교통위원회
송석준,국민의힘,경기 이천시,남,"법제사법위원회,순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회"
송언석,국민의힘,경북 김천시,남,기획재정위원회
송옥주,더불어민주당,경기 화성시갑,여,농림축산식품해양수산위원회
안규백,더불어민주당,서울 동대문구갑,남,국방위원회
안철수,국민의힘,경기 성남시분당구갑,남,외교통일위원회
안호영,더불어민주당,전북 완주군진안군무주군,남,환경노동위원회
어기구,더불어민주당,충남 당진시,남,농림축산식품해양수산위원회
우원식,무소속,서울 노원구갑,남,
위성곤,더불어민주당,제주 서귀포시,남,"예산결산특별위원회,행정안전위원회"
유동수,더불어민주당,인천 계양구갑,남,정무위원회
윤상현,국민의힘,인천 동구미추홀구을,남,외교통일위원회
윤영석,국민의힘,경남 양산시갑,남,국토교통위원회
윤재옥,국민의힘,대구 달서구을,남,국토교통위원회
윤종오,진보당,울산 북구,남,"국토교통위원회,예산결산특별위원회"
윤한홍,국민의힘,경남 창원시마산회원구,남,정무위원회
윤호중,더불어민주당,경기 구리시,남,기획재정위원회
윤후덕,더불어민주당,경기 파주시갑,남,외교통일위원회
이개호,더불어민주당,전남 담양군함평군영광군장성군,남,보건복지위원회
이만희,국민의힘,경북 영천시청도군,남,농림축산식품해양수산위원회
이양수,국민의힘,강원 속초시인제군고성군양양군,남,농림축산식품해양수산위원회
이언주,더불어민주당,경기 용인시정,여,산업통상자원중소벤처기업위원회
이인영,더불어민주당,서울 구로구갑,남,"정무위원회,정보위원회"
이재정,더불어민주당,경기 안양시동안구을,여,외교통일위원회
이종배,국민의힘,충북 충주시,남,산업통상자원중소벤처기업위원회
이철규,국민의힘,강원 동해시태백시삼척시정선군,남,산업통상자원중소벤처기업위원회
이춘석,더불어민주당,전북 익산시갑,남,국토교통위원회
이학영,더불어민주당,경기 군포시,남,환경노동위원회
이헌승,국민의힘,부산 부산진구을,남,정무위원회
임이자,국민의힘,경북 상주시문경시 ,여,"환경노동위원회,국회운영위원회"
전재수,더불어민주당,부산 북구갑,남,문화체육관광위원회
전현희,더불어민주당,서울 중구성동구갑,여,법제사법위원회
정동영,더불어민주당,전북 전주시병,남,"과학기술정보방송통신위원회,순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회"
정성호,더불어민주당,경기 동두천시양주시연천군갑,남,기획재정위원회
정점식,국민의힘,경남 통영시고성군,남,국토교통위원회
조경태,국민의힘,부산 사하구을,남,농림축산식품해양수산위원회
조배숙,국민의힘,비례대표,여,"법제사법위원회,예산결산특별위원회"
조승래,더불어민주당,대전 유성구갑,남,정무위원회
조정식,더불어민주당,경기 시흥시을,남,외교통일위원회
주호영,국민의힘,대구 수성구갑,남,산업통상자원중소벤처기업위원회
진선미,더불어민주당,서울 강동구갑,여,교육위원회
추경호,국민의힘,대구 달성군,남,"국회운영위원회,보건복지위원회,정보위원회"
추미애,더불어민주당,경기 하남시갑,여,"국방위원회,국회운영위원회"
한정애,더불어민주당,서울 강서구병,여,외교통일위원회
황희,더불어민주당,서울 양천구갑,남,국방위원회
강병원,더불어민주당,서울 은평구을,남,
고용진,더불어민주당,서울 노원구갑,남,
곽상도,무소속,대구 중구남구,남,
권은희,국민의힘,비례대표,여,
기동민,더불어민주당,서울 성북구을,남,
김경협,더불어민주당,경기 부천시갑,남,
김두관,더불어민주당,경남 양산시을,남,
김민기,더불어민주당,경기 용인시을,남,
김병욱,더불어민주당,경기 성남시분당구을,남,
김상희,더불어민주당,경기 부천시병,여,
김영주,국민의힘,서울 영등포구갑,여,
김진표,무소속,경기 수원시무,남,
김철민,더불어민주당,경기 안산시상록구을,남,
김태흠,국민의힘,충남 보령시서천군,남,
김학용,국민의힘,경기 안성시,남,
김한정,더불어민주당,경기 남양주시을,남,
노웅래,더불어민주당,서울 마포구갑,남,
도종환,더불어민주당,충북 청주시흥덕구,남,
박광온,더불어민주당,경기 수원시정,남,
박병석,더불어민주당,대전 서구갑,남,
박성중,국민의힘,서울 서초구을,남,
박완수,국민의힘,경남 창원시의창구,남,
박완주,무소속,충남 천안시을,남,
박용진,더불어민주당,서울 강북구을,남,
박재호,더불어민주당,부산 남구을,남,
변재일,더불어민주당,충북 청주시청원구,남,
설훈,새로운미래,경기 부천시을,남,
송갑석,더불어민주당,광주 서구갑,남,
송영길,더불어민주당,인천 계양구을,남,
신동근,더불어민주당,인천 서구을,남,
심상정,정의당,경기 고양시갑,여,
안민석,더불어민주당,경기 오산시,남,
오영훈,더불어민주당,제주 제주시을,남,
우상호,더불어민주당,서울 서대문구갑,남,
유의동,국민의힘,경기 평택시을,남,
윤관석,무소속,인천 남동구을,남,
이명수,국민의힘,충남 아산시갑,남,
이상민,국민의힘,대전 유성구을,남,
이상헌,무소속,울산 북구,남,
이용호,국민의힘,전북 남원시임실군순창군,남,
이원욱,개혁신당,경기 화성시을,남,
이채익,국민의힘,울산 남구갑,남,
이태규,국민의힘,비례대표,남,
인재근,더불어민주당,서울 도봉구갑,여,
임종성,더불어민주당,경기 광주시을,남,
장제원,국민의힘,부산 사상구,남,
전해철,더불어민주당,경기 안산시상록구갑,남,
전혜숙,무소속,서울 광진구갑,여,
정우택,국민의힘,충북 청주시상당구,남,
정운천,국민의힘,비례대표,남,
정진석,국민의힘,충남 공주시부여군청양군,남,
정춘숙,더불어민주당,경기 용인시병,여,
조응천,개혁신당,경기 남양주시갑,남,
최인호,더불어민주당,부산 사하구갑,남,
하태경,국민의힘,부산 해운대구갑,남,
홍문표,국민의힘,충남 홍성군예산군,남,
홍영표,새로운미래,인천 부평구을,남,
홍익표,더불어민주당,서울 중구성동구갑,남,
강길부,무소속,울산 울주군,남,
강석진,미래통합당,경남 산청군함양군거창군합천군,남,
강석호,미래통합당,경북 영양군영덕군봉화군울진군,남,
강창일,더불어민주당,제주 제주시갑,남,
강효상,미래통합당,비례대표,남,
경대수,미래통합당,충북 증평군진천군음성군,남,
곽대훈,무소속,대구 달서구갑,남,
권미혁,더불어민주당,비례대표,여,
권석창,자유한국당,충북 제천시단양군,남,
금태섭,더불어민주당,서울 강서구갑,남,
김경수,더불어민주당,경남 김해시을,남,
김경진,무소속,광주 북구갑,남,
김관영,무소속,전북 군산시,남,
김광림,미래통합당,경북 안동시,남,
김광수,무소속,전북 전주시갑,남,
김규환,미래한국당,비례대표,남,
김기선,미래한국당,강원 원주시갑,남,
김동철,민생당,광주 광산구갑,남,
김명연,미래통합당,경기 안산시단원구갑,남,
김무성,미래통합당,부산 중구영도구,남,
김병관,더불어민주당,경기 성남시분당구갑,남,
김부겸,더불어민주당,대구 수성구갑,남,
김삼화,민생당,비례대표,여,
김선동,미래통합당,서울 도봉구을,남,
김성수,더불어민주당,비례대표,남,
김성식,무소속,서울 관악구갑,남,
김성찬,미래한국당,경남 창원시진해구,남,
김성태,미래통합당,서울 강서구을,남,
김성태,미래통합당,비례대표,남,
김세연,미래통합당,부산 금정구,남,
김수민,민생당,비례대표,여,
김순례,미래한국당,비례대표,여,
김승희,미래한국당,비례대표,여,
김영우,미래통합당,경기 포천시가평군,남,
김영춘,더불어민주당,부산 부산진구갑,남,
김용태,미래통합당,서울 양천구을,남,
김재경,미래통합당,경남 진주시을,남,
김재원,미래통합당,경북 상주시군위군의성군청송군,남,
김정우,더불어민주당,경기 군포시갑,남,
김정훈,미래한국당,부산 남구갑,남,
김종대,정의당,비례대표,남,
김종석,미래한국당,비례대표,남,
김종인,더불어민주당,비례대표,남,
김종태,새누리당,경북 상주시군위군의성군청송군,남,
김종회,무소속,전북 김제시부안군,남,
김종훈,민중당,울산 동구,남,
김중로,민생당,비례대표,남,
김진태,미래통합당,강원 춘천시,남,
김한표,미래통합당,경남 거제시,남,
김해영,더불어민주당,부산 연제구,남,
김현권,더불어민주당,비례대표,남,
김현미,더불어민주당,경기 고양시정,여,
김현아,미래통합당,비례대표,여,
노회찬,정의당,경남 창원시성산구,남,
문미옥,더불어민주당,비례대표,여,
문진국,미래한국당,비례대표,남,
문희상,무소속,경기 의정부시갑,남,
민경욱,미래통합당,인천 연수구을,남,
민병두,무소속,서울 동대문구을,남,
박경미,더불어민주당,비례대표,여,
박남춘,더불어민주당,인천 남동구갑,남,
박맹우,미래한국당,울산 남구을,남,
박명재,미래통합당,경북 포항시남구울릉군,남,
박선숙,민생당,비례대표,여,
박순자,미래통합당,경기 안산시단원구을,여,
박영선,더불어민주당,서울 구로구을,여,
박인숙,미래통합당,서울 송파구갑,여,
박주선,민생당,광주 동구남구을,남,
박주현,민생당,비례대표,여,
박준영,민주평화당,전남 영암군무안군신안군,남,
박찬우,자유한국당,충남 천안시갑,남,
배덕광,자유한국당,부산 해운대구을,남,
백승주,미래한국당,경북 구미시갑,남,
백재현,더불어민주당,경기 광명시갑,남,
서청원,우리공화당,경기 화성시갑,남,
서형수,더불어민주당,경남 양산시을,남,
손금주,더불어민주당,전남 나주시화순군,남,
손혜원,열린민주당,서울 마포구을,여,
송기석,국민의당,광주 서구갑,남,
송희경,미래한국당,비례대표,여,
신경민,더불어민주당,서울 영등포구을,남,
신보라,미래통합당,비례대표,여,
신상진,미래통합당,경기 성남시중원구,남,
신용현,민생당,비례대표,여,
신창현,더불어민주당,경기 의왕시과천시,남,
심기준,더불어민주당,비례대표,남,
심재권,더불어민주당,서울 강동구을,남,
심재철,미래통합당,경기 안양시동안구을,남,
안상수,미래통합당,인천 중구동구강화군옹진군,남,
양승조,더불어민주당,충남 천안시병,남,
엄용수,자유한국당,경남 밀양시의령군함안군창녕군,남,
여상규,미래한국당,경남 사천시남해군하동군,남,
여영국,정의당,경남 창원시성산구,남,
염동열,미래한국당,강원 태백시횡성군영월군평창군정선군,남,
오세정,바른미래당,비례대표,남,
오신환,미래통합당,서울 관악구을,남,
오제세,더불어민주당,충북 청주시서원구,남,
원유철,미래한국당,경기 평택시갑,남,
원혜영,더불어민주당,경기 부천시오정구,남,
유기준,미래통합당,부산 서구동구,남,
유민봉,미래통합당,비례대표,남,
유성엽,민생당,전북 정읍시고창군,남,
유승민,미래통합당,대구 동구을,남,
유승희,더불어민주당,서울 성북구갑,여,
유은혜,더불어민주당,경기 고양시병,여,
유재중,미래통합당,부산 수영구,남,
윤상직,미래통합당,부산 기장군,남,
윤소하,정의당,비례대표,남,
윤영일,민생당,전남 해남군완도군진도군,남,
윤일규,더불어민주당,충남 천안시병,남,
윤종필,미래한국당,비례대표,여,
윤준호,더불어민주당,부산 해운대구을,남,
이군현,자유한국당,경남 통영시고성군,남,
이규희,더불어민주당,충남 천안시갑,남,
이동섭,민생당,비례대표,남,
이상돈,민생당,비례대표,남,
이석현,더불어민주당,경기 안양시동안구갑,남,
이수혁,더불어민주당,비례대표,남,
이완영,자유한국당,경북 고령군성주군칠곡군,남,
이용득,더불어민주당,비례대표,남,
이용주,무소속,전남 여수시갑,남,
이우현,자유한국당,경기 용인시갑,남,
이은권,미래통합당,대전 중구,남,
이은재,무소속,서울 강남구병,여,
이장우,미래통합당,대전 동구,남,
이정미,정의당,비례대표,여,
이정현,무소속,전남 순천시,남,
이종걸,더불어민주당,경기 안양시만안구,남,
이종구,미래통합당,서울 강남구갑,남,
이종명,미래한국당,비례대표,남,
이주영,미래통합당,경남 창원시마산합포구,남,
이진복,미래통합당,부산 동래구,남,
이찬열,미래통합당,경기 수원시갑,남,
이철우,자유한국당,경북 김천시,남,
이철희,더불어민주당,비례대표,남,
이학재,미래통합당,인천 서구갑,남,
이해찬,더불어민주당,세종특별자치시,남,
이현재,무소속,경기 하남시,남,
이혜훈,미래통합당,서울 서초구갑,여,
이후삼,더불어민주당,충북 제천시단양군,남,
이훈,더불어민주당,서울 금천구,남,
임재훈,민생당,비례대표,남,
장병완,민생당,광주 동구남구갑,남,
장석춘,미래한국당,경북 구미시을,남,
장정숙,민생당,비례대표,여,
전희경,미래통합당,비례대표,여,
정갑윤,미래통합당,울산 중구,남,
정병국,미래통합당,경기 여주시양평군,남,
정세균,더불어민주당,서울 종로구,남,
정양석,미래통합당,서울 강북구갑,남,
정용기,미래통합당,대전 대덕구,남,
정유섭,미래통합당,인천 부평구갑,남,
정은혜,더불어민주당,비례대표,여,
정인화,무소속,전남 광양시곡성군구례군,남,
정재호,더불어민주당,경기 고양시을,남,
정종섭,미래통합당,대구 동구갑,남,
정태옥,무소속,대구 북구갑,남,
제윤경,더불어민주당,비례대표,여,
조원진,우리공화당,대구 달서구병,남,
조훈현,미래한국당,비례대표,남,
주광덕,미래통합당,경기 남양주시병,남,
주승용,민생당,전남 여수시을,남,
지상욱,미래통합당,서울 중구성동구을,남,
진영,더불어민주당,서울 용산구,남,
채이배,민생당,비례대표,남,
천정배,민생당,광주 서구을,남,
최경환,자유한국당,경북 경산시,남,
최경환,민생당,광주 북구을,남,
최교일,미래통합당,경북 영주시문경시예천군,남,
최도자,민생당,비례대표,여,
최명길,국민의당,서울 송파구을,남,
최연혜,미래통합당,비례대표,여,
최운열,더불어민주당,비례대표,남,
최재성,더불어민주당,서울 송파구을,남,
추혜선,정의당,비례대표,여,
표창원,더불어민주당,경기 용인시정,남,
한선교,미래한국당,경기 용인시병,남,
함진규,미래통합당,경기 시흥시갑,남,
허윤정,더불어민주당,비례대표,여,
홍문종,친박신당,경기 의정부시을,남,
홍의락,더불어민주당,대구 북구을,남,
홍일표,미래통합당,인천 남구갑,남,
홍철호,미래통합당,경기 김포시을,남,
황영철,자유한국당,강원 홍천군철원군화천군양구군인제군,남,
황주홍,민생당,전남 고흥군보성군장흥군강진군,남,
